,time,delta,seconds_remaining,replicated_seconds_remaining,is_overtime,ball_has_been_hit
1,5.033741474151611,0.03480619937181473,300,,,
2,5.0697431564331055,0.03600030019879341,300,,,
3,5.1057448387146,0.03600050136446953,300,,,
4,5.141746520996094,0.03600049763917923,300,,,
5,5.177748203277588,0.03600050136446953,300,,,
6,5.213749885559082,0.03600040078163147,300,,,
7,5.249751567840576,0.036000799387693405,300,,,
8,5.28575325012207,0.03600069880485535,300,,,
9,5.3217549324035645,0.03600050136446953,300,,,
10,5.357756614685059,0.03600049763917923,300,,,
11,5.393758296966553,0.036000799387693405,300,,,
12,5.429759979248047,0.036000803112983704,300,,,
13,5.465761661529541,0.036000899970531464,300,,,
14,5.501763343811035,0.03600049763917923,300,,,
15,5.537765026092529,0.036000702530145645,300,,,
16,5.573766708374023,0.03600069880485535,300,,,
17,5.609768390655518,0.03600040078163147,300,,,
18,5.645770072937012,0.03600069880485535,300,,,
19,5.681771755218506,0.036000899970531464,300,,,
20,5.7177734375,0.03600030019879341,300,,,
21,5.753819465637207,0.036045100539922714,300,,,
22,5.789821147918701,0.036000799387693405,300,,,
23,5.825822830200195,0.03600050136446953,300,,,
24,5.8618245124816895,0.03600069880485535,300,,,
25,5.897826194763184,0.036000799387693405,300,,,
26,5.933827877044678,0.03600060194730759,300,,,
27,5.969829559326172,0.03600059822201729,300,,,
28,6.005831241607666,0.03600040078163147,300,3.0,,
29,6.03940486907959,0.03357280045747757,300,3.0,,
30,6.075406551361084,0.03600040078163147,300,3.0,,
31,6.111408233642578,0.03600049763917923,300,3.0,,
32,6.147409915924072,0.03600060194730759,300,3.0,,
33,6.183411598205566,0.03600100055336952,300,3.0,,
34,6.2194132804870605,0.036000799387693405,300,3.0,,
35,6.255414962768555,0.036000899970531464,300,3.0,,
36,6.291416645050049,0.03600059822201729,300,3.0,,
37,6.327418327331543,0.03600069880485535,300,3.0,,
38,6.363420009613037,0.036000702530145645,300,3.0,,
39,6.399421691894531,0.03600040078163147,300,3.0,,
40,6.435423374176025,0.03600069880485535,300,3.0,,
41,6.4714250564575195,0.03600040078163147,300,3.0,,
42,6.507426738739014,0.03600069880485535,300,3.0,,
43,6.543428421020508,0.03600069880485535,300,3.0,,
44,6.579430103302002,0.03600040078163147,300,3.0,,
45,6.615431785583496,0.03600060194730759,300,3.0,,
46,6.65143346786499,0.03600039705634117,300,3.0,,
47,6.687435150146484,0.036000803112983704,300,3.0,,
48,6.7234368324279785,0.03600069880485535,300,3.0,,
49,6.759438514709473,0.03600040078163147,300,3.0,,
50,6.795440196990967,0.036000799387693405,300,3.0,,
51,6.831441879272461,0.036000799387693405,300,3.0,,
52,6.864998817443848,0.03355589881539345,300,3.0,,
53,6.901000499725342,0.036000702530145645,300,3.0,,
54,6.937002182006836,0.03600059822201729,300,3.0,,
55,6.97300386428833,0.03600060194730759,300,3.0,,
56,7.015446662902832,0.042441800236701965,300,3.0,,
57,7.0517144203186035,0.03626669943332672,300,3.0,,
58,7.087716102600098,0.03600059822201729,300,3.0,,
59,7.123717784881592,0.03600050136446953,300,3.0,,
60,7.159719467163086,0.03600040078163147,300,3.0,,
61,7.19572114944458,0.03600049763917923,300,3.0,,
62,7.231722831726074,0.03600040078163147,300,3.0,,
63,7.267724514007568,0.03600059822201729,300,3.0,,
64,7.3037261962890625,0.03600050136446953,300,3.0,,
65,7.339727878570557,0.03600050136446953,300,3.0,,
66,7.375729560852051,0.03600059822201729,300,3.0,,
67,7.411731243133545,0.03600060194730759,300,3.0,,
68,7.447732925415039,0.03600059822201729,300,3.0,,
69,7.483734607696533,0.03600050136446953,300,3.0,,
70,7.519736289978027,0.036000899970531464,300,3.0,,
71,7.5557379722595215,0.03600040078163147,300,3.0,,
72,7.591739654541016,0.03600049763917923,300,3.0,,
73,7.62774133682251,0.03600050136446953,300,3.0,,
74,7.66388463973999,0.036142498254776,300,3.0,,
75,7.699886322021484,0.03600050136446953,300,3.0,,
76,7.7358880043029785,0.03600059822201729,300,3.0,,
77,7.771889686584473,0.03600060194730759,300,3.0,,
78,7.807891368865967,0.036000899970531464,300,3.0,,
79,7.842427730560303,0.034535400569438934,300,3.0,,
80,7.878429412841797,0.03600069880485535,300,3.0,,
81,7.914431095123291,0.03600060194730759,300,3.0,,
82,7.950432777404785,0.036000899970531464,300,3.0,,
83,7.986434459686279,0.03600069880485535,300,3.0,,
84,8.023513793945312,0.03708000108599663,300,3.0,,
85,8.059511184692383,0.03600049763917923,300,3.0,,
86,8.095508575439453,0.03600040078163147,300,3.0,,
87,8.13150691986084,0.03600060194730759,300,3.0,,
88,8.167505264282227,0.03600059822201729,300,3.0,,
89,8.203503608703613,0.03600050136446953,300,3.0,,
90,8.239500999450684,0.03600059822201729,300,3.0,,
91,8.27549934387207,0.03600050136446953,300,3.0,,
92,8.31149673461914,0.03600059822201729,300,3.0,,
93,8.347494125366211,0.03600030019879341,300,3.0,,
94,8.383491516113281,0.03600050136446953,300,3.0,,
95,8.419488906860352,0.03600059822201729,300,3.0,,
96,8.455487251281738,0.036000799387693405,300,3.0,,
97,8.491485595703125,0.03600060194730759,300,3.0,,
98,8.527484893798828,0.036000799387693405,300,3.0,,
99,8.563482284545898,0.03600050136446953,300,3.0,,
100,8.599481582641602,0.03600069880485535,300,3.0,,
101,8.635478973388672,0.03600050136446953,300,3.0,,
102,8.671478271484375,0.03600059822201729,300,3.0,,
103,8.707475662231445,0.03600040078163147,300,3.0,,
104,8.743473052978516,0.03600030019879341,300,3.0,,
