,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,hit_team_no,rot_x,rot_y,rot_z
3148,3830.35009765625,-586.7100219726562,640.8300170898438,-8611.799926757812,-10085.30029296875,9419.000244140625,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.5651620861607647,2.347801552986521,-2.034246578641411
3149,3787.330078125,-637.0900268554688,686.9299926757812,-8598.599853515625,-10069.69970703125,9079.600219726562,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.5719285487419103,2.185278832475279,-2.0379375441410787
3150,3744.3798828125,-687.3900146484375,731.3400268554688,-8585.399780273438,-10054.099731445312,8740.700073242188,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.5791113511899003,2.02207007387802,-2.04028584036301
3151,3730.080078125,-704.1400146484375,745.77001953125,-8580.999755859375,-10048.900146484375,8627.899780273438,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.5815686495236765,1.9674933806673534,-2.0407482326129935
3152,3701.489990234375,-737.6199951171875,774.0599975585938,-8572.19970703125,-10038.499755859375,8402.2998046875,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.5865213912253543,1.858085122344823,-2.041215139359818
3153,3672.929931640625,-771.0599975585938,801.5900268554688,-8563.400268554688,-10028.099975585938,8177.1002197265625,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.5914920960678203,1.7483086468187845,-2.041026747329568
3154,3630.14990234375,-821.1500244140625,841.489990234375,-8550.2001953125,-10012.5,7839.6002197265625,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.598841274916128,1.5829465663441866,-2.039506109918992
3155,3601.669921875,-854.510009765625,867.1599731445312,-8541.400146484375,-10002.100219726562,7614.7998046875,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.6035630773010243,1.4722493713788198,-2.0376795060428647
3156,3573.219970703125,-887.8300170898438,892.0800170898438,-8532.60009765625,-9991.699829101562,7390.3997802734375,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.6081044041734198,1.361199000730214,-2.035250574676122
3157,3544.800048828125,-921.1099853515625,916.25,-8523.800048828125,-9981.300048828125,7166.099853515625,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.6123921486174888,1.2497765549182076,-2.032194881847633
3158,3530.60009765625,-937.739990234375,928.0599975585938,-8519.400024414062,-9976.099853515625,7054.0997314453125,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.6144150751521442,1.1939218859942238,-2.03043710697679
3159,3466.780029296875,-1012.4600219726562,978.8800048828125,-8499.600219726562,-9952.7001953125,6550.5999755859375,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.6224444863452238,0.9416146370738958,-2.0209191673419475
3160,3452.6201171875,-1029.0400390625,989.6599731445312,-8495.2001953125,-9947.5,6438.800048828125,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.623948882895432,0.885354965569579,-2.0184801483030124
3161,3424.320068359375,-1062.1800537109375,1010.6599731445312,-8486.400146484375,-9937.100219726562,6215.5999755859375,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.6266059837348776,0.7726693670426329,-2.0133251937513106
3162,3381.929931640625,-1111.8199462890625,1040.760009765625,-8473.200073242188,-9921.500244140625,5881.099853515625,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.6296648298696983,0.603217882726685,-2.0049349413412747
3163,3367.81005859375,-1128.3499755859375,1050.4200439453125,-8468.800048828125,-9916.300048828125,5769.69970703125,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.6304309494272797,0.5466564138945842,-2.002002149322664
3164,3325.5,-1177.8900146484375,1078.300048828125,-8455.599975585938,-9900.700073242188,5435.9002685546875,143.90000343322754,39.000000953674316,-3290.10009765625,1.0,-0.6318956302792786,0.3768152256902646,-1.9929662657416758
